ACCEPT	OK
MC_EXCHANGE_BUTTON	Trocar
MC_MOTION_BUTTON	Movimento
MC_POLY_BUTTON	Transformar
MC_WARP_BUTTON	Teleportar
MC_SUMMON_BUTTON	Invocar
MC_ACHIEV_ABLE_REGIST	Pode ser registrada
MC_ACHIEV_APPLY	Aplicar Conquista
MC_ACHIEV_APPLY	Aplicar
MC_ACHIEV_APPLYING	Bônus aplicado
MC_ACHIEV_BONUS_NONE	Nenhum Bônus
MC_ACHIEV_DISABLE	Conquista não registrada
MC_ACHIEV_DUNGEON	Conquistas de Calabouço
MC_ACHIEV_DUNGEON_BONUS	Bônus do Calabouço
MC_ACHIEV_FIELD	Conquistas de Campo
MC_ACHIEV_FIELD_BONUS	Bônus do Campo
MC_ACHIEV_REGIST	Registrar
MC_ACHIEV_SHOW	Detalhes
MC_ACHIEV_SORT_ABLE_REGIST	Pode ser registrado
MC_ACHIEV_SORT_ALL	Ver tudo
MC_ACHIEV_SORT_APPLYING	Aplicado
MC_ACHIEV_SORT_DISABLE	Não conquistado
MC_ACHIEV_SORT_REGIST	Pode ser aplicado
MYSHOP_DECO_SELECT_TITLE	Título de Decoração
MYSHOP_DECO_SELECT_MODEL	Modelo de Decoração
MYSHOP_DECO_DEFAULT	Padrão
MYSHOP_DECO_PREV	Anterior
MYSHOP_DECO_NEXT	Próximo
MYSHOP_DECO_CANCEL	Fechar
MYSHOP_DECO_OK	Finalizar
BATTLE_FIELD_INFO	Informações
BATTLE_FILED_RANK	Rank
BATTLE_FILED_RANK_NAME	Nome
BATTLE_FILED_RANK_EMPIRE	Reino
BATTLE_FILED_RANK_POINT	Pontos
WEEKLY_RANKING	Ranking Semanal
TOTAL_RANKING	Ranking Total
BATTLE_FIELD_OPERATION_TIME_OPEN	Tempo Restante: %s (Aberto por %s hora(s))
BATTLE_FIELD_OPERATION_TIME_END	Aberto: %s sobrando.
BATTLE_FIELD_OPERATION_TIME_NA	Fechado
BATTLE_FIELD_OPERATION_TIME_ALL	Aberto : Todo o tempo
CURRENT_POINT	Pontos Atuais: %s
EXIT_BATTLE_FIELD	Você quer sair da Batalha Campal?
EXIT_BATTLE_FIELD_ON_DEAD	Você quer sair com %d ponto(s)?
ENTER_BATTLE_FIELD	Entrar
RESTART_IMMEDIATE	O Player que Renasce
BANNER_YUTNORI_BUTTON	Yutnori
MINI_GAME_YUTNORI_TITLE	Yutnori
MINI_GAME_YUTNORI_THROW	Jogar Yut
MINI_GAME_YUTNORI_SCORE	Pontos
MINI_GAME_YUTNORI_REMAIN_COUNT	Contagem Restante
MINI_GAME_YUTNORI_PROBABILITY	Jogada
MINI_GAME_YUTNORI_PLAYER_TEXT	Jogador
MINI_GAME_YUTNORI_COM_TEXT	Alma Invocada
MINI_GAME_YUTNORI_REWARD_TEXT	Recompensa
MINI_GAME_YUTNORI_YUTSEM1	Do
MINI_GAME_YUTNORI_YUTSEM2	Ge
MINI_GAME_YUTNORI_YUTSEM3	Geol
MINI_GAME_YUTNORI_YUTSEM4	Yut
MINI_GAME_YUTNORI_YUTSEM5	Mo
MINI_GAME_YUTNORI_YUTSEM6	Back-do
MINI_GAME_YUTNORI_START_TEXT	Iniciar
MINI_GAME_YUTNORI_PROB_DESC	O Yut Sem selecionado terá maior probabilidade de aparecer.
GEMSHOP_TITLA	Mercado de Gaya
GEMSHOP_LEFTTIME	Duração
KEYCHANGE_PARTY_MATCH_WINDOW	Formação de Grupo
PARTY_MATCH_TEXT_DUNGEON_NAME	Nome da Dungeon
PARTY_MATCH_TEXT_REQUIRED_ITEMS	Item Necessário
PARTY_MATCH_TEXT_LEVEL_LIMIT	Nível Necessário
PARTY_MATCH_TEXT_REQUEST_MATCH	Registrar
PARTY_MATCH_TEXT_REQUEST_MATCH_CANCEL	Cancelar Registro
PARTY_MATCH_TEXT_ENTREE_LEVEL	Nível : %d
PARTY_MATCH_TEXT_DUNGEON_SELECT	Escolha a Dungeon
SYSTEM_MOVE_CHANNEL	Trocar Canal
CZ_REWARD_WINDOW_TITLE	Templo do Zodíaco
BANNER_CATCHKING_BUTTON	Pegue o Rei
MINI_GAME_CATCHKING_TITLE	Pegue o REI
MINI_GAME_CATCHKING_START_TEXT	Começar
MINI_GAME_CATCHKING_HELP_TEXT	Ajuda
MINI_GAME_CATCHKING_MYNUMBER	Minhas cartas
MINI_GAME_CATCHKING_SELECTION_NUMBER	Selecionadas
MINI_GAME_CATCHKING_SCORE	Pontuação
MINI_GAME_CATCHKING_REWARD	Recompensar
MINI_GAME_CATCHKING_HIGH_SCORE	Maior pontuação
MINI_GAME_CATCHKING_CHALLENGE	Desafio
MINI_GAME_CATCHKING_RETRY	Tentar de novo
MINI_GAME_CATCHKING_POPUP_CONFIRM	confirmação
KEYCHANGE_DSS1	PdD[Céu]
KEYCHANGE_DSS2	PdD[Terra]
PET_NAME_CHANGE_WINDOW_TITLE	Mudar o Nome
PET_NAME_CHANGE_BUTTON	Mudar
QUEST_UI_TEXT_MAIN	Missão Principal
QUEST_UI_TEXT_SUB	Missão Secundária
QUEST_UI_TEXT_LEVELUP	Missão de Caça
QUEST_UI_TEXT_EVENT	Missão de Evento
QUEST_UI_TEXT_COLLECTION	Missão de Coleta
QUEST_UI_TEXT_SYSTEM	Missão de Sistema
QUEST_UI_TEXT_SCROLL	Missão de Pergaminho
OPTION_LANGUAGE_SELECT	Language Support
OPTION_LANGUAGE_CHANGE	Apply
COMB_MAIN	Base
COMB_MATERIAL	Material
CHARACTER_SPECTIAL_ACTION	Ação Especial
BANNER_OKEY_BUTTON	Okey Evento
GRAPHICONOFF_EFFECT_LEVEL	Efeito
GRAPHICONOFF_EFFECT_LEVEL1	1
GRAPHICONOFF_EFFECT_LEVEL1_TOOLTIP	Mostrar todos os efeitos
GRAPHICONOFF_EFFECT_LEVEL2	2
GRAPHICONOFF_EFFECT_LEVEL2_TOOLTIP	Mostrar apenas meus efeitos e de monstros
GRAPHICONOFF_EFFECT_LEVEL3	3
GRAPHICONOFF_EFFECT_LEVEL3_TOOLTIP	Mostrar apenas meus efeitos e de outros jogadores
GRAPHICONOFF_EFFECT_LEVEL4	4
GRAPHICONOFF_EFFECT_LEVEL4_TOOLTIP	Mostra apenas meus efeitos
GRAPHICONOFF_EFFECT_LEVEL5	5
GRAPHICONOFF_EFFECT_LEVEL5_TOOLTIP	Esconder todos os efeitos
GRAPHICONOFF_EFFECT_APPLY	Aplicar
GRAPHICONOFF_PRIVATE_SHOP_LEVEL	Loja Pessoal
GRAPHICONOFF_PRIVATE_SHOP_LEVEL1	1
GRAPHICONOFF_PRIVATE_SHOP_LEVEL1_TOOLTIP	Mostrar todas as lojas pessoais
GRAPHICONOFF_PRIVATE_SHOP_LEVEL2	2
GRAPHICONOFF_PRIVATE_SHOP_LEVEL2_TOOLTIP	Mostrar lojas pessoais dentro de um raio de 50M
GRAPHICONOFF_PRIVATE_SHOP_LEVEL3	3
GRAPHICONOFF_PRIVATE_SHOP_LEVEL3_TOOLTIP	Mostrar lojas pessoais dentro de um raio de 25M
GRAPHICONOFF_PRIVATE_SHOP_LEVEL4	4
GRAPHICONOFF_PRIVATE_SHOP_LEVEL4_TOOLTIP	Mostrar lojas pessoais dentro de um raio de 10M
GRAPHICONOFF_PRIVATE_SHOP_LEVEL5	5
GRAPHICONOFF_PRIVATE_SHOP_LEVEL5_TOOLTIP	Mostrar lojas pessoais dentro de um raio de 3M
GRAPHICONOFF_PRIVATE_SHOP_APPLY	Aplicar
GRAPHICONOFF_DROP_ITEM_LEVEL	Item Drop
GRAPHICONOFF_DROP_ITEM_LEVEL1	1
GRAPHICONOFF_DROP_ITEM_LEVEL1_TOOLTIP	Mostrar todos os itens no chão
GRAPHICONOFF_DROP_ITEM_LEVEL2	2
GRAPHICONOFF_DROP_ITEM_LEVEL2_TOOLTIP	Mostrar apenas nomes e formatos dos itens
GRAPHICONOFF_DROP_ITEM_LEVEL3	3
GRAPHICONOFF_DROP_ITEM_LEVEL3_TOOLTIP	Mostrar apenas formato dos itens
GRAPHICONOFF_DROP_ITEM_LEVEL4	4
GRAPHICONOFF_DROP_ITEM_LEVEL4_TOOLTIP	Esconder itens, mas mostrar nome ao passar mouse em cima
GRAPHICONOFF_DROP_ITEM_LEVEL5	5
GRAPHICONOFF_DROP_ITEM_LEVEL5_TOOLTIP	Esconder itens no chão
GRAPHICONOFF_DROP_ITEM_APPLY	Aplicar
GRAPHICONOFF_PET_STATUS	Pet
GRAPHICONOFF_PET_STATUS_ON	ON
GRAPHICONOFF_PET_STATUS_ON_TOOLTIP	Mostrar pet
GRAPHICONOFF_PET_STATUS_OFF	OFF
GRAPHICONOFF_PET_STATUS_OFF_TOOLTIP	Esconder pet
GRAPHICONOFF_NPC_NAME_STATUS	Nome de NPC
GRAPHICONOFF_NPC_NAME_STATUS_ON	ON
GRAPHICONOFF_NPC_NAME_STATUS_ON_TOOLTIP	Mostrar nome de NPCs
GRAPHICONOFF_NPC_NAME_STATUS_OFF	OFF
GRAPHICONOFF_NPC_NAME_STATUS_OFF_TOOLTIP	Esconder nome de NPCs
PET_ATTR_CONFIRMATION	Alterar
PET_ATTR_OK	Confirmar
PET_ATTR_CHANGE_TITLE	Alterar atributo do Pet
PET_CHANGE_TEXT	Pet que será alterado
PET_ATTR_CHANGE_ITEM_TEXT	Item para alterar atributo do Pet
PET_ATTR_DETERMINE_TITLE	Atributo identificado do Pet
LUCKY_BOX_TITLE_NAME	Caixa da Sorte
LUCKY_BOX_RECV_NAME	Item disponível para receber
LUCKY_BOX_RETRY_BUTTON	Reusar Caixa da Sorte
LUCKY_BOX_RECV_BUTTON	Receber item
LUCKY_BOX_NOTICE_YANG	Precisa de Gold para reusar
MAILBOX_TITLE	Caixa de Correio
MAILBOX_POST_ALL_DELETE_BUTTON	Deletar todos
MAILBOX_POST_ALL_RECEIVE	Receber todos
MAILBOX_POST_SEND_TITLE	Enviar
MAILBOX_POST_WRITE_TO	Para:
MAILBOX_POST_WRITE_TITLE	Título
MAILBOX_POST_WRITE_SEND_TEXT	Enviar
MAILBOX_POST_WRITE_CLOSE_TEXT	Fechar
MAILBOX_POST_WRITE_CONFIRM_TEXT	[Checar Personagem]
MAILBOX_POST_READ_MAIN_TITLE	Caixa de Entrada
MAILBOX_POST_READ_FROM	De:
MAILBOX_POST_READ_TITLE	Título
MAILBOX_POST_READ_DELETE	Deletar
MAILBOX_POST_READ_RECV	Receber
MAILBOX_POST_READ_BLOCK	[Bloquear]
MAILBOX_POST_WRITE_BUTTON_TEXT	Enviar
RESTART_GIVEUP	Desistir
MESSENGER_BLOCK_FRIEND	Lista de Bloqueio
EVENT_ALARM_TITLE	Aviso de Evento
EVENT_NAME_TITLE	Nome do Evento
EVENT_REWARD_TITLE	Recompensa do Evento
END_TIME	Evento ativo até END_TIME
BANNER_MYSTERY_BOX_BUTTON	Baú Misterioso
BANNER_NEW_XMAS_BUTTON	Natal
BANNER_EASTER_BUTTON	Páscoa
BANNER_SUMMER_BUTTON	Verão
BANNER_RAMADAN_BUTTON	Ramadã
BANNER_HALLOWEEN_BUTTON	Halloween
BANNER_FOOTBALL_BUTTON	Copa do Mundo
BANNER_OLYMPIC_BUTTON	Olimpíadas
BANNER_VALENTINE_BUTTON	Dia dos Namorados
BANNER_FLOWER_BUTTON	Evento das Flores
BANNER_LUCKY_EVENT	Evento da Sorte
EXPIRED_TIME	Evento finalizado
KEYCHANGE_INGAMEEVENT	Evento
BANNER_LARBOR_DAY_EVENT	Dia do Trabalho
BANNER_DOLL_EVENT	Boneca Indígena
BANNER_CARNIVAL_EVENT	Carnaval
FISHING_RENEWAL_TITLE	Pescaria
DRAGONSOUL_CHANGE_ATTR_WINDOW_TITLE	Troca de Bônus Pedra do Dragão Mítica
CHANGE_ATTR_SELECT	Trocar Bônus
DO_CHANGE_ATTR	Prosseguir
DRAGONSOUL_PAGE_BUTTON_6	Mítica(SS)	
QUEST_UI_TEXT_DAILY	Missão Diária
CUBE_RENEWAL_TITLE	Cubo
CUBE_RENEWAL_BELT_IMPROVE	Aumentar Chance
BANNER_MINIBOSS_BUTTON	BOSS DUNGEON
MINI_BOSS_TITLE	Dungeon de Mini Boss
MINI_BOSS_DUNGEON_TOOTIP_01	Boss info
MINI_BOSS_DUNGEON_TOOTIP_02	Rank Dungeon Azul
MINI_BOSS_DUNGEON_TOOTIP_03	Rank Dungeon Vermelha
MINI_BOSS_DUNGEON_TOOTIP_04	Entrar
MINI_BOSS_DUNGEON_TOOTIP_05	Tempo restante
MINI_BOSS_DUNGEON_TOOTIP_06	Minha contribuição
MINI_BOSS_DUNGEON_DESC_BTN	Dicas
MINI_BOSS_DUNGEON_TOOTIP_07	Reset restante
MINI_BOSS_DUNGEON_TITLE_NUM	Rank
MINI_BOSS_DUNGEON_TITLE_NAME	Usuário
MINI_BOSS_DUNGEON_TITLE_POINT	Pts. Acumulados
MINI_BOSS_DUNGEON_TOOTIP_08	Recompensa de contribuição
PET_REVIVE_TITLE	Ressuscitar Pet
PET_REVIVE_TARGET	Pet que será ressuscitado
PET_AGE_TEXT	Idade do Pet
PET_REVIVE_REUSLT_TEXT	Resultado
PET_REVIVE_MATERIAL_TITLE	Material
PET_REVIVE_BUTTON	Ressuscitar
PET_REVIVE_CANCEL_BUTTON	Cancelar
AURA_MAIN	Principal
AURA_SUB	Material
BANNER_BATTLE_ROYALE_BUTTON	Battle Royale
BATTLE_ROYALE_APPLICATION_TITLE	Battle Royale
BATTLE_ROYALE_MAINBUTTON_APPLICATION	Registrar
BATTLE_ROYALE_RETURN_TO_TOWN	Retornar para cidade
BATTLE_ROYALE_MAINBUTTON_RANKING	Ranking
BANNER_CHALLENGE_BUTTON	Desafio
MINI_GAME_CHALLENGE_TITLE	Evento do Desafio
MINI_GAME_CHALLENGE_TAB_DESC	Detalhes
MINI_GAME_CHALLENGE_TAB_PLAY	Mini Game
MINI_GAME_CHALLENGE_TAB_REWARD	Recompensa do Desafio
MINI_GAME_CHALLENGE_TAB_RANK	Ranking
MINI_GAME_CHALLENGE_BETTING_TEXT	LANCES
MINI_GAME_CHALLENGE_ITEM_NAME_TEXT	Ticket de Desafio
MINI_GAME_CHALLENGE_YANG_TEXT	Gold
MINI_GAME_CHALLENGE_BUTTON_TEXT	Desafiar
MINI_GAME_CHALLENGE_RANK_TAB_REWARD_CONFIRM_TEXT	Premiações do Ranking
MINI_GAME_CHALLENGE_RANK_TAB_TITLE_RANK	Ranking
MINI_GAME_CHALLENGE_RANK_TAB_TITLE_NAME	Nickname
MINI_GAME_CHALLENGE_RANK_TAB_TITLE_LEVEL	Nível
MINI_GAME_CHALLENGE_REWARD_TAB_TITLE_LEVEL	Subir Nível
MINI_GAME_CHALLENGE_REWARD_TAB_USE_EXP_GAUGE_TEXT	%d%%
MINI_GAME_CHALLENGE_REWARD_TAB_USE_CHALLENGE_EXP_TEXT	Usar
MINI_GAME_CHALLENGE_REWARD_TAB_CHALLENGE_EXP_TITLT_TEXT	EXP Desafio
MINI_GAME_CHALLENGE_REWARD_TAB_LEVEL_TEXT	Nível
MINI_GAME_CHALLENGE_REWARD_TAB_COMMON_TEXT	Normal
MINI_GAME_CHALLENGE_REWARD_TAB_PREMIUM	Premium
MINI_GAME_CHALLENGE_REWARD_TAB_REWARD_BUTTON_TEXT	Obter Prêmio
MINI_GAME_CHALLENGE_REWARD_TAB_REWARD_BUTTON_COMPLETE_TEXT	Complete
MINI_GAME_CHALLENGE_GAME_TAB_TEXT_BETTING	Desafio
MINI_GAME_CHALLENGE_GAME_TAB_TEXT_SELECT	Selecionar
MINI_GAME_CHALLENGE_GAME_TAB_TEXT_CHALLENGE	Desafio
MINI_GAME_CHALLENGE_GAME_TAB_TEXT_WIN_UP	VOCÊ
MINI_GAME_CHALLENGE_GAME_TAB_TEXT_WIN_DOWN	VENCEU
MINI_GAME_CHALLENGE_GAME_TAB_TEXT_LOSE_UP	VOCÊ
MINI_GAME_CHALLENGE_GAME_TAB_TEXT_LOSE_DOWN	PERDEU
MINI_GAME_CHALLENGE_GAME_TAB_TEXT_DRAW	EMPATE
MINI_GAME_CHALLENGE_REWARD_TAB_WAITING_TIME	Tempo de espera: %s
MINI_GAME_CHALLENGE_GAME_TAB_CHECK_TEXT	Desafio instantâneo
MINI_GAME_CHALLENGE_REWARD_TAB_LEVEL	Nv. %d
MINI_GAME_CHALLENGE_REWARD_TAB_REMAIN_CYCLE_END_TIME	Tempo restante até a recompensa do desafio reiniciar
MINI_GAME_CHALLENGE_COM_VS_PC	Desafiante VS Jogador
MISTS_ISLAND_EXIT	Sair
MISTS_ISLAND_TITLE_SCORE	Status de Ocupação
MISTS_ISLAND_EMPIRE_NAME	Nome do Reino
MISTS_ISLAND_EMPIRE_SCORE	Pontuação Reino
MISTS_ISLAND_TITLE_RANK	Informação sobre rank e status
MISTS_ISLAND_SCORE	Pontuação
MISTS_ISLAND_RANK	Rank
MISTS_ISLAND_END_TIME	Término
MISTS_ISLAND_INFO_TEXT	Informação sobre rank e status
WARP_MI_LABEL	Mover para o santuário sob ataque
EMPIRE_ALL	Todos
EMPIRE_A	Shinsu 
EMPIRE_B	Chunjo
EMPIRE_C	Jinno
BANNER_BLACK_AND_WHITE_BUTTON	Duelo de Videntes
MINI_GAME_BLACK_AND_WHITE_WAITTING_TITLE	Ajuda
MINI_GAME_BLACK_AND_WHITE_START_BUTTON	Jogar
MINI_GAME_BLACK_AND_WHITE_RANK_BUTTON	Ranking
MINI_GAME_BLACK_AND_WHITE_REWARD_TRADE	Trocar Prêmio
MINI_GAME_BLACK_AND_WHITE_GAME_TITLE	Duelo de Videntes
MINI_GAME_BLACK_AND_WHITE_DONATE	Doar
BNW_RANK_UI_RANK	Rank
BNW_RANK_UI_NAME	Nickname
BNW_RANK_UI_COUNT	Doações
BNW_GAME_UI_COM	Adversário
OPTION_SHADOW_TARGET	Sombras
OPTION_SHADOW_TARGET_NONE	1
OPTION_SHADOW_TARGET_NONE_TOOLTIP	Sem sombra
OPTION_SHADOW_TARGET_GROUND	2
OPTION_SHADOW_TARGET_GROUND_TOOLTIP	Mostrar sombra do ambiente
OPTION_SHADOW_TARGET_GROUND_AND_SOLO	3
OPTION_SHADOW_TARGET_GROUND_AND_SOLO_TOOLTIP	Mostrar sombra do ambiente e de personagens
OPTION_SHADOW_TARGET_ALL	4
OPTION_SHADOW_TARGET_ALL_TOOLTIP	Mostrar todas as sombras
OPTION_SHADOW_QUALITY	Efeito Sombra
OPTION_SHADOW_QUALITY_BAD	Baixa
OPTION_SHADOW_QUALITY_BAD_TOOLTIP	Qualidade de sombra baixa
OPTION_SHADOW_QUALITY_AVERAGE	Normal
OPTION_SHADOW_QUALITY_AVERAGE_TOOLTIP	Qualidade de sombra normal
OPTION_SHADOW_QUALITY_GOOD	Alta
OPTION_SHADOW_QUALITY_GOOD_TOOLTIP	Qualidade de sombra alta
REFINE_ELEMENT_UPGRADE_TITLE	Melhorar Nível
REFINE_ELEMENT_DOWNGRADE_TITLE	Diminuir Nível
REFINE_ELEMENT_CHANGE_TITLE	Alterar Elemento
REFINE_ELEMENT_CHANGE_FIRE	Fogo
REFINE_ELEMENT_CHANGE_ICE	Gelo
REFINE_ELEMENT_CHANGE_WIND	Vento
REFINE_ELEMENT_CHANGE_ELECT	Relâmpago
REFINE_ELEMENT_CHANGE_EARTH	Terra
REFINE_ELEMENT_CHANGE_DARK	Trevas
REFINE_ELEMENT_CHANGE_COST_TITLE	Custo
GUILD_DONATE_TITLE	Doar Experiência
GUILD_DONATE_TAB_NORMAL	Doação Padrão
GUILD_DONATE_TAB_MIDDLE	Doação Média
GUILD_DONATE_TAB_HIGH	Doação Superior
GUILD_DONATE_NORMAL_MATERIAL	120.000 gold
GUILD_DONATE_MIDDLE_MATERIAL	Média
GUILD_DONATE_HIGH_MATERIAL	Superior
GUILD_DONATE_COUNT	Doações disponíveis: %d/%d
GUILD_DONATE_GET_MEDAL_OF_HONOR	%d
GUILD_MEMBER_PACE_ATTENDANCE	Presença ({0}/{1})
GUILD_ATTENDANCE_TITLE	Recompensa por Presença
GUILD_ATTENDANCE_LOCA1	Presença Básica: Medalha de Honra x1
GUILD_ATTENDANCE_LOCA2	10 ou mais: Medalha de Honra x1
GUILD_ATTENDANCE_LOCA3	20 ou mais: Medalha de Honra x2
GUILD_ATTENDANCE_LOCA4	30 ou mais: Medalha de Honra x4
GUILD_ATTENDANCE_LOCA5	40 ou mais: Medalha de Honra x6
GUILD_ATTENDANCE_LOCA6	50 ou mais: Medalha de Honra x8
GUILD_ATTENDANCE_LOCA7	60 ou mais: Medalha de Honra x10
GUILD_ATTENDANCE_LOCA8	70 ou mais: Medalha de Honra x12
GUILD_ATTENDANCE_LOCA9	Reinicialização da Presença: 05:00 AM
GUILD_DONATE_MEDAL_OF_HONOR	Medalha de Honra
GUILD_DONATE_GUILD_EXP	Experiência da Guilda
GUILD_DONATE_BUTTON_OVER_TEXT	Receberá aleatoriamente um dos itens acima
GUILD_DONATE_MY_MEDAL_OF_HONOR	Medalhas de Honra atuais
MONSTER_CARD_ACHIEV_BONUS	Bônus de Conquista
FRAGMENT_COMB_TITLE	Criação de Baú de Fragmentos
ATTR_67_ADD_TITLE	Adicionar Bônus Áureo
ATTR_67_ADD	Adicionar
ATTR_67_REGIST_SLOT_TITLE	Item para adic. bônus
ATTR_67_MATERIAL_SLOT_TITLE	Fragmentos do Poder
ATTR_67_SUPPORT_SLOT_TITLE	Suplementos
SELECT_ORIGIN_STAT	Origin Stat
SELECT_SUNGMA_STAT	Sungma Stat
PASSIVE_ATTR_UI_TITLE	Bônus de Relíquia
PASSIVE_ATTR_UI_CHARGE_BUTTON	Recarregar
PASSIVE_ATTR_UI_ADD_BUTTON	Adicionar
PASSIVE_ATTR_ACTIVATE_BUTTON	Ativar
KEYCHANGE_PASSIVE_ATTR1	Relíquia[Superior]
KEYCHANGE_PASSIVE_ATTR2	Relíquia[Inferior]
SUNGHAHEE_TOWER_CLEAR	Concluído
SUNGMAHEE_TOWER_DUNGEON_ENTER_QUESTION	Deseja entrar no %dº andar?
SUNGMAHEE_TOWER_DUNGEON_EXIT_QUESTION	Deseja interromper o desafio?
SUNGMAHEE_TOWER_ELEMENT_ALL	Todos
SUNGMAHEE_TOWER_ELEMENT_DARK	Trevas
SUNGMAHEE_TOWER_ELEMENT_EARTH	Terra
SUNGMAHEE_TOWER_ELEMENT_ELEC	Relâmpago
SUNGMAHEE_TOWER_ELEMENT_FIRE	Fogo
SUNGMAHEE_TOWER_ELEMENT_ICE	Gelo
SUNGMAHEE_TOWER_ELEMENT_TITLE	Elemento do andar
SUNGMAHEE_TOWER_ELEMENT_WIND	Vento
SUNGMAHEE_TOWER_ENTER_BUTTON	Entrar
SUNGMAHEE_TOWER_ENTER_TITLE	Torre Infernal de Sung Mahi
SUNGMAHEE_TOWER_EXIT_BUTTON	Sair
SUNGMAHEE_TOWER_INFO_BOARD_FLOOR	A%d
SUNGMAHEE_TOWER_MISSION_TYPE_ALL_KILL_MOB_PAUSE_SPECIAL	Derrote as Metins e os monstros.
SUNGMAHEE_TOWER_MISSION_TYPE_BOSS	Derrote todos os monstros.
SUNGMAHEE_TOWER_MISSION_TYPE_CHESS_FAIL	Derrote todos os monstros.
SUNGMAHEE_TOWER_MISSION_TYPE_COMPLETE	Missão completa!
SUNGMAHEE_TOWER_MISSION_TYPE_CORRECT_ITEM_USE	Encontre a Chave da Torre Infernal para escapar.
SUNGMAHEE_TOWER_MISSION_TYPE_DEBUFF_RELEASE	Derrote todos os monstros.
SUNGMAHEE_TOWER_MISSION_TYPE_FINDING_RIGHT_MATCH_METIN_STONE	Destrua a Metin correta.
SUNGMAHEE_TOWER_MISSION_TYPE_FINDING_RIGHT_MATCH_METIN_STONE_FAIL	Derrote todos os monstros.
SUNGMAHEE_TOWER_MISSION_TYPE_MONSTER_CHESS	Derrote o par que não combina.
SUNGMAHEE_TOWER_MISSION_TYPE_NORMAL	Derrote todos os monstros.
SUNGMAHEE_TOWER_MISSION_TYPE_SEAL_RELEASE	Remova o selo com o Selo de Sung Mahi.
SUNGMAHEE_TOWER_MISSION_TYPE_STAIRS	Suba a escada da Torre Infernal de Sung Mahi e encare o próximo desafio.
SUNGMAHEE_TOWER_MISSION_TYPE_SURVIVE	Sobreviva aos ataques até que todos os monstros sejam derrotados.
SUNGMAHEE_TOWER_MY_RANK_TITLE	Meu ranking
SUNGMAHEE_TOWER_REWARD_INFO_TITLE	Recompensas
COSTUME_TITLE	Costumes
FLOWER_EVENT_TITLE	Inventário de Sementes
FLOWER_EVENT_EXCHANGE_BUTTON_TEXT	Trocar
FLOWER_EVENT_SHOOT_CHRYSANTHEMUM_TEXT	Semente de Amaranto
FLOWER_EVENT_SHOOT_MAY_BELL_TEXT	Semente de Flor Cônica
FLOWER_EVENT_SHOOT_DAFFODIL_TEXT	Semente de Narciso
FLOWER_EVENT_SHOOT_LILY_TEXT	Semente de Lírio
FLOWER_EVENT_SHOOT_SUNFLOWER_TEXT	Semente de Girassol
PREMIUM_PRIVATE_SHOP_TITLE	Loja Pessoal
PREMIUM_PRIVATE_SHOP_MODIFY_BUTTON	Modificar
PREMIUM_PRIVATE_SHOP_REOPEN_BUTTON	Reabrir
PREMIUM_PRIVATE_SHOP_TAX_ADJUSTMENT_BUTTON	Recuperar
PREMIUM_PRIVATE_SHOP_ITEM_TAKE_OUT	Recuperar item
PREMIUM_PRIVATE_SHOP_SHOP_CLOSE_BUTTON	Fechar loja
PREMIUM_PRIVATE_SHOP_REMAIN_TEXT_ICON	Tempo restante
PREMIUM_PRIVATE_SHOP_WON_ICON	Won para recuperar
PREMIUM_PRIVATE_SHOP_YANG_ICON	Gold para recuperar
PREMIUM_PRIVATE_SHOP	Loja Pessoal Premium
PREMIUM_PRIVATE_SHOP_TAX_ADJUSTMENT_DIALOG_TITLE	Recuperar
PREMIUM_PRIVATE_SHOP_NOTICE_NO_TICKET	Não tem permissão
PREMIUM_PRIVATE_SHOP_NOTICE_NONE	A loja pessoal não está aberta.
PREMIUM_PRIVATE_SHOP_NOTICE_MODIFY	A loja está sendo modificada.
PREMIUM_PRIVATE_SHOP_NOTICE_OPEN	A loja pessoal está aberta.
LANGUAGE_NONE	Nenhum
CHATTING_SETTING_DEFAULT_TITLE	Todos
CHATTING_SETTING_TITLE	Configuração de Chat
CHATTING_SETTING_LIST	Lista
CHATTING_SETTING_TALKING	Normal
CHATTING_SETTING_PARTY	Grupo
CHATTING_SETTING_GUILD	Guilda
CHATTING_SETTING_SHOUT	Grito
CHATTING_SETTING_SYSTEM	Sistema
CHATTING_SETTING_NOTICE	Avisos
CHATTING_SETTING_LANGUAGE_CUR	Idioma (%s)
CHATTING_SETTING_LANGUAGE_1	Idioma 1
CHATTING_SETTING_LANGUAGE_2	Idioma 2
CHATTING_SETTING_LANGUAGE_3	Idioma 3
CHATTING_SETTING_DICE	Dados
CHATTING_SETTING_DICE_SETTING	Configuração de Dados
CHATTING_SETTING_DETAIL	Configuração de Sistema
CHATTING_SETTING_EXP	EXP
CHATTING_SETTING_ITEM	Item
CHATTING_SETTING_GOLD	Moeda
CHATTING_SETTING_TABNAME	Configuração de Nome de Aba
CHATTING_SETTING_CLEAR	Restaurar
CHATTING_SETTING_SAVE	Salvar
CHATTING_SETTING_CANCLE	Cancelar
CHATTING_SETTING_LANGUAGE_ONOFF	on/off
OTHER_WORLD_DROP_DOWN_X1	X1
OTHER_WORLD_DROP_DOWN_X5	X5
OTHER_WORLD_DROP_DOWN_X10	X10
BANNER_OTHER_WORLD_BUTTON	Jornada ao Submundo
OTHER_WORLD_EVENT_TITLE	Jornada ao Submundo
OTHER_WORLD_WISP_BOARD_TITLE	Chamas Mortais em Posse
