10955	Pingente do Fogo+10	Não pode ser refinado ou negociado.
10956	Pingente do Gelo+10	Não pode ser refinado ou negociado.
10957	Pingente do Vento+10	Não pode ser refinado ou negociado.
10958	Pingente do Trovão+10	Não pode ser refinado ou negociado.
10959	Pingente da Terra+10	Não pode ser refinado ou negociado.
10960	Pingente das Trevas+10	Não pode ser refinado ou negociado.
41037	Uniforme  de Esgrima Brasileiro	Uniforme usado para treino de compate com espadas nível avançado. 	
41038	Uniforme  de Esgrima Brasileiro	Uniforme usado para treino de compate com espadas nível avançado. 	
41039	Uniforme de Futebol Padrão	Uniforme usado para treinos de Futebol.	
41040	Uniforme de Futebol Padrão	Uniforme usado para treinos de Futebol.	
41045	Uniforme de Futebol Brasileiro 	Uniforme usado para treinos de Futebol.	
41046	Uniforme de Futebol Brasileiro 	Uniforme usado para treinos de Futebol.	
41047	Uniforme de Boxe Padrão	Uniforme usado para combates agressivos com os braços.	
41048	Uniforme de Boxe Padrão	Uniforme usado para combates agressivos com os braços.	
41053	Uniforme de Boxe Brasileiro	Uniforme usado para combates agressivos com os braços.	
41054	Uniforme de Boxe Brasileiro	Uniforme usado para combates agressivos com os braços.	
41678	Armadura de Éolo (M)	Armadura de Páscoa forjada pelo guardião dos ventos.	
41679	Armadura de Astreu (M)	Armadura de Páscoa forjada pelo titã do crepúsculo.	
41680	Armadura de Éolo (F)	Armadura de Páscoa forjada pelo guardião dos ventos.	
41681	Armadura de Astreu (F)	Armadura de Páscoa forjada pelo titã do crepúsculo.	
41682	Armadura de Éolo+ (M)	Armadura de Páscoa forjada pelo guardião dos ventos.	
41683	Armadura de Astreu+ (M)	Armadura de Páscoa forjada pelo titã do crepúsculo.	
41684	Armadura de Éolo+ (F)	Armadura de Páscoa forjada pelo guardião dos ventos.	
41685	Armadura de Astreu+ (F)	Armadura de Páscoa forjada pelo titã do crepúsculo.	
41694	Uni. Bombeiro Claro (M)	Uniforme usado por heróis.	
41695	Uni. Bombeiro Preto (M)	Uniforme usado por heróis.	
41696	Uni. Bombeira Claro (F)	Uniforme usado por heroínas.	
41697	Uni. Bombeira Preto (F)	Uniforme usado por heroínas.	
41698	Uni. Bombeiro Claro+ (M)	Uniforme usado por heróis.	
41699	Uni. Bombeiro Preto+ (M)	Uniforme usado por heróis.	
41700	Uni. Bombeira Claro+ (F)	Uniforme usado por heroínas.	
41701	Uni. Bombeira Preto+ (F)	Uniforme usado por heroínas.	
41782	Suéter Vermelho (M)	Um belo e aconchegante suéter natalino.	
41783	Suéter Verde (M)	Um belo e aconchegante suéter natalino.	
41784	Suéter Vermelho (F)	Um belo e aconchegante suéter natalino.	
41785	Suéter Verde (F)	Um belo e aconchegante suéter natalino.	
41786	Suéter Vermelho+ (M)	Um belo e aconchegante suéter natalino.	
41787	Suéter Verde+ (M)	Um belo e aconchegante suéter natalino.	
41788	Suéter Vermelho+ (F)	Um belo e aconchegante suéter natalino.	
41789	Suéter Verde+ (F)	Um belo e aconchegante suéter natalino.	
41798	Robe Faraó Rubi (M)	Com este traje, se sentirá como um antigo rei-deus egípcio.	
41799	Robe Faraó Peridoto (M)	Com este traje, se sentirá como um antigo rei-deus egípcio.	
41800	Robe Faraó Rubi (F)	Com este traje, se sentirá como uma antiga rainha-deusa egípcia.	
41801	Robe Faraó Peridoto (F)	Com este traje, se sentirá como uma antiga rainha-deusa egípcia.	
41802	Robe Faraó Rubi+ (M)	Com este traje, se sentirá como um antigo rei-deus egípcio. Fornece pelo menos um bônus aleatório.	
41803	Robe Faraó Peridoto+ (M)	Com este traje, se sentirá como um antigo rei-deus egípcio. Fornece pelo menos um bônus aleatório.	
41804	Robe Faraó Rubi+ (F)	Com este traje, se sentirá como uma antiga rainha-deusa egípcia. Fornece pelo menos um bônus aleatório.	
41805	Robe Faraó Peridoto+ (F)	Com este traje, se sentirá como uma antiga rainha-deusa egípcia. Fornece pelo menos um bônus aleatório.	
41822	Traje da Condenação (M)	Auxilia no combate contra Asmodeus enquanto equipado com o conjunto	
41823	Traje da Condenação (F)	Auxilia no combate contra Asmodeus enquanto equipado com o conjunto	
41824	Casaco Invernal (M)	Casaco que te manterá aconchegado e aquecido, mesmo durante os invernos mais frios.	
41825	Casaco Luxuoso (M)	Casaco que te manterá aconchegado e aquecido, mesmo durante os invernos mais frios.	
41826	Casaco Invernal (F)	Casaco que te manterá aconchegada e aquecida, mesmo durante os invernos mais frios.	
41827	Casaco Luxuoso (F)	Casaco que te manterá aconchegada e aquecida, mesmo durante os invernos mais frios.	
41828	Casaco Invernal+ (M)	Casaco que te manterá aconchegado e aquecido, mesmo durante os invernos mais frios.	
41829	Casaco Luxuoso+ (M)	Casaco que te manterá aconchegado e aquecido, mesmo durante os invernos mais frios.	
41830	Casaco Invernal+ (F)	Casaco que te manterá aconchegada e aquecida, mesmo durante os invernos mais frios.	
41831	Casaco Luxuoso+ (F)	Casaco que te manterá aconchegada e aquecida, mesmo durante os invernos mais frios.	
45005	Visual de Esgrima	Pentado masculino geralmente usado para apresentações de esgrima.	
45006	Visual de Esgrima	Pentado feminino geralmente usado para apresentações de esgrima.	
45007	Visual Esportista	Última moda de estilo de visual para cabelos de esportistas de Futebol.	
45008	Visual Esportista	Última moda de estilo de visual para cabelos de esportistas de Futebol.	
45009	Visual trançado	Muito eficaz para lutadores de boxe! O visual trançado não deixa o cabelo tampar a visão do lutador.	
45010	Visual trançado	Muito eficaz para lutadores de boxe! O visual trançado não deixa o cabelo tampar a visão do lutador.	
45013	Visual de Esgrima	Pentado masculino geralmente usado para apresentações de esgrima.	
45014	Visual de Esgrima	Pentado feminino geralmente usado para apresentações de esgrima.	
45015	Visual Esportista	Última moda de estilo de visual para cabelos de esportistas de Futebol.	
45016	Visual Esportista	Última moda de estilo de visual para cabelos de esportistas de Futebol.	
45017	Visual trançado	Muito eficaz para lutadores de boxe! O visual trançado não deixa o cabelo tampar a visão do lutador.	
45018	Visual trançado	Muito eficaz para lutadores de boxe! O visual trançado não deixa o cabelo tampar a visão do lutador.	
45059	Visual de Samurai	Capacete utilizado pelo vencedor da grande batalha contra Goueki.	
45060	Visual de Samurai	Capacete utilizado pela vencedora da grande batalha contra Goueki.	
45071	Visual de Samurai+	Capacete utilizado pelo vencedor da grande batalha contra Goueki.	
45072	Visual de Samurai+	Capacete utilizado pela vencedora da grande batalha contra Goueki.	
45087	Corte de Futebol I	Evita que os cabelos atrapalhem a visão durante o jogo.	
45088	Corte de Futebol I	Evita que os cabelos atrapalhem a visão durante o jogo.	
45089	Corte de Futebol II	Evita que os cabelos atrapalhem a visão durante o jogo.	
45090	Corte de Futebol II	Evita que os cabelos atrapalhem a visão durante o jogo.	
45091	Corte de Futebol III	Evita que os cabelos atrapalhem a visão durante o jogo.	
45092	Corte de Futebol III	Evita que os cabelos atrapalhem a visão durante o jogo.	
45093	Corte de Futebol IV	Evita que os cabelos atrapalhem a visão durante o jogo.	
45094	Corte de Futebol IV	Evita que os cabelos atrapalhem a visão durante o jogo.	
45095	Corte de Futebol V	Evita que os cabelos atrapalhem a visão durante o jogo.	
45096	Corte de Futebol V	Evita que os cabelos atrapalhem a visão durante o jogo.	
45097	Corte de Futebol+ I	Evita que os cabelos atrapalhem a visão durante o jogo.	
45098	Corte de Futebol+ I	Evita que os cabelos atrapalhem a visão durante o jogo.	
45099	Corte de Futebol+ II	Evita que os cabelos atrapalhem a visão durante o jogo.	
45100	Corte de Futebol+ II	Evita que os cabelos atrapalhem a visão durante o jogo.	
45101	Corte de Futebol+ III	Evita que os cabelos atrapalhem a visão durante o jogo.	
45102	Corte de Futebol+ III	Evita que os cabelos atrapalhem a visão durante o jogo.	
45103	Corte de Futebol+ IV	Evita que os cabelos atrapalhem a visão durante o jogo.	
45104	Corte de Futebol+ IV	Evita que os cabelos atrapalhem a visão durante o jogo.	
45105	Corte de Futebol+ V	Evita que os cabelos atrapalhem a visão durante o jogo.	
45106	Corte de Futebol+ V	Evita que os cabelos atrapalhem a visão durante o jogo.	
45356	Elmo de Éolo (M)	Elmo de Páscoa forjado pelo guardião dos ventos.	
45357	Elmo de Astreu (M)	Elmo de Páscoa forjado pelo titã do crepúsculo.	
45358	Elmo de Éolo (F)	Elmo de Páscoa forjado pelo guardião dos ventos.	
45359	Elmo de Astreu (F)	Elmo de Páscoa forjado pelo titã do crepúsculo.	
45360	Elmo de Éolo+ (M)	Elmo de Páscoa forjado pelo guardião dos ventos.	
45361	Elmo de Astreu+ (M)	Elmo de Páscoa forjado pelo titã do crepúsculo.	
45362	Elmo de Éolo+ (F)	Elmo de Páscoa forjado pelo guardião dos ventos.	
45363	Elmo de Astreu+ (F)	Elmo de Páscoa forjado pelo titã do crepúsculo.	
45372	Elmo Bombeiro Preto (M)	Elmo usado por heróis.	
45373	Elmo Bombeiro Claro (M)	Elmo usado por heróis.	
45374	Elmo Bombeira Preto (F)	Elmo usado por heroínas.	
45375	Elmo Bombeira Claro (F)	Elmo usado por heroínas.	
45376	Elmo Bombeiro Preto+ (M)	Elmo usado por heróis.	
45377	Elmo Bombeiro Claro+ (M)	Elmo usado por heróis.	
45378	Elmo Bombeira Preto+ (F)	Elmo usado por heroínas.	
45379	Elmo Bombeira Claro+ (F)	Elmo usado por heroínas.	
45518	Gorro Vermelho (M)	Ideal para aquecer a cabeça no natal.	
45519	Gorro Verde (M)	Ideal para aquecer a cabeça no natal.	
45520	Gorro Vermelho (F)	Ideal para aquecer a cabeça no natal.	
45521	Gorro Verde (F)	Ideal para aquecer a cabeça no natal.	
45522	Gorro Vermelho+ (M)	Ideal para aquecer a cabeça no natal.	
45523	Gorro Verde+ (M)	Ideal para aquecer a cabeça no natal.	
45524	Gorro Vermelho+ (F)	Ideal para aquecer a cabeça no natal.	
45525	Gorro Verde+ (F)	Ideal para aquecer a cabeça no natal.	
45534	Elmo Faraó Rubi (M)	Com este elmo, se sentirá como um antigo rei-deus egípcio.	
45535	Elmo Faraó Peridoto (M)	Com este elmo, se sentirá como um antigo rei-deus egípcio.	
45536	Elmo Faraó Rubi (F)	Com este elmo, se sentirá como uma antiga rainha-deusa egípcia.	
45537	Elmo Faraó Peridoto (F)	Com este elmo, se sentirá como uma antiga rainha-deusa egípcia.	
45538	Elmo Faraó Rubi+ (M)	Com este elmo, se sentirá como um antigo rei-deus egípcio. Fornece pelo menos um bônus aleatório.	
45539	Elmo Faraó Peridoto+ (M)	Com este elmo, se sentirá como um antigo rei-deus egípcio. Fornece pelo menos um bônus aleatório.	
45540	Elmo Faraó Rubi+ (F)	Com este elmo, se sentirá como uma antiga rainha-deusa egípcia. Fornece pelo menos um bônus aleatório.	
45541	Elmo Faraó Peridoto+ (F)	Com este elmo, se sentirá como uma antiga rainha-deusa egípcia. Fornece pelo menos um bônus aleatório.	
45542	Elmo da Serpente (M)		
45543	Elmo da Serpente (F)		
45544	Elmo da Serpente+ (M)		
45545	Elmo da Serpente+ (F)		
45562	Elmo da Condenação (M)	Auxilia no combate contra Asmodeus enquanto equipado com o conjunto	
45563	Elmo da Condenação (F)	Auxilia no combate contra Asmodeus enquanto equipado com o conjunto	
45564	Chapéu Invernal (M)	Chapéu que te manterá aconchegado e aquecido, mesmo durante os invernos mais frios.	
45565	Chapéu Luxuoso (M)	Chapéu que te manterá aconchegado e aquecido, mesmo durante os invernos mais frios.	
45566	Chapéu Invernal (F)	Chapéu que te manterá aconchegada e aquecida, mesmo durante os invernos mais frios.	
45567	Chapéu Luxuoso (F)	Chapéu que te manterá aconchegada e aquecida, mesmo durante os invernos mais frios.	
45568	Chapéu Invernal+ (M)	Chapéu que te manterá aconchegado e aquecido, mesmo durante os invernos mais frios.	
45569	Chapéu Luxuoso+ (M)	Chapéu que te manterá aconchegado e aquecido, mesmo durante os invernos mais frios.	
45570	Chapéu Invernal+ (F)	Chapéu que te manterá aconchegada e aquecida, mesmo durante os invernos mais frios.	
45571	Chapéu Luxuoso+ (F)	Chapéu que te manterá aconchegada e aquecida, mesmo durante os invernos mais frios.	
49001	Aura (comum)	Essa aura absorve os bônus de um acessório. A % de absorção varia com o nível. | Pedaços de Auras são usadas no fortalecimento. |  Evolui até o Nv49	
49002	Aura (incomum)	Essa aura absorve os bônus de um acessório. A % de absorção varia com o nível. | Pedaços de Auras são usadas no fortalecimento. |  Evolui até o Nv99	
49003	Aura (rara)	Essa aura absorve os bônus de um acessório. A % de absorção varia com o nível. | Pedaços de Auras são usadas no fortalecimento. |  Evolui até o Nv149	
49004	Aura (antiga)	Essa aura absorve os bônus de um acessório. A % de absorção varia com o nível. | Pedaços de Auras são usadas no fortalecimento. |  Evolui até o Nv199	
49005	Aura (lendária)	Essa aura absorve os bônus de um acessório. A % de absorção varia com o nível. | Pedaços de Auras são usadas no fortalecimento. |  Evolui até o Nv249	
49006	Aura (mítica)	Essa aura absorve os bônus de um acessório. A % de absorção varia com o nível.	
49990	Pedaço de Aura	Material necessário para fortalecer Aura. | Procure Theowahdan para fortalecer.	
49991	Pedaço de Aura (+10)	Material necessário para fortalecer Aura. | Procure Theowahdan para fortalecer.	
49992	Pedaço de Aura (+50)	Material necessário para fortalecer Aura. | Procure Theowahdan para fortalecer.	
49993	Pedaço de Aura (+100)	Material necessário para fortalecer Aura. | Procure Theowahdan para fortalecer.	
49994	Pedaço de Aura (+250)	Material necessário para fortalecer Aura. | Procure Theowahdan para fortalecer.	
49995	Pedaço de Aura (+500)	Material necessário para fortalecer Aura. | Procure Theowahdan para fortalecer.	
50001	Livro da Sorte	O número escrito no livro pode ser premiado.	
50002	Anel de Ouro	Alguém perdeu esse anel, ele pode ser vendido por um bom preço em alguma loja da cidade.	
50003	Pergaminho do Reinício	Reinicia uma Skill escolhida pelo jogador.	
50004	Detector de Eventos		
50005	Bilhete de Cavalgada	É usado para uma cavalgada temporária, sem custos. Procure o Ajudante do Estábulo.	
50006	Arca de Ouro	Guarda recompensas. Pode ser aberta somente com a Chave de Ouro.	
50007	Arca de Prata	Guarda recompensas. Pode ser aberta somente com a Chave de Prata.	
50008	Chave de Ouro	Chave usada para abrir a Arca de Ouro e Arca de Ouro Sagrada.	
50009	Chave de Prata	Chave usada para abrir a Arca de Prata e Arca de Prata Sagrada.	
50010	Meias	A tradição manda pendurar numa árvore e seus desejos podem se realizar.	
50011	Arca do Luar	Dizem que irá ocorrer um fenomeno sobrenatural se exposta aos raios da lua.	
50012	Arca de Ouro Sagrada	Guarda recompensas. Pode ser aberta somente com a Chave de Ouro.	
50013	Arca de Prata Sagrada	Guarda recompensas. Pode ser aberta somente com a Chave de Prata.	
50016	Pasta de Feijão	Alimento tradicional em dias festivos e feriados.	
50017	Caramelo	Alimento tradicional em dias festivos e feriados.	
50018	Geléia	Alimento tradicional em dias festivos e feriados.	
50019	Doce de Arroz	Alimento tradicional em dias festivos e feriados.	
50020	Bolinho de Feijão	Alimento tradicional em dias festivos e feriados, recupera todo o HP.	
50021	Bolo Doce	Alimento tradicional em dias festivos e feriados, recupera todo o MP.	
50022	Bolo de Frutas	Alimento tradicional em dias festivos e feriados, retira feitiços negativos quando consumido.	
50023	Carteira Vermelha	Lembrança do Ano Novo Chinês.	
50024	Rosa	Item do Dia dos Namorados, somente personagens femininos podem utilizar.	
50025	Chocolate	Item do Dia dos Namorados, somente personagens masculinos podem utilizar.	
50027	Bilhete de Loteria	A loteria foi proibída em todo o Império. Item sem utilidade atualmente.	
50031	Rosa Perfumada	Flor que simboliza paixão, amor e felicidade. Muito utilizado para transmitir o amor entre quem se gosta.	
50032	Doce	Confeitado a partir de diversos ingredientes misturados com açúcar. Muito utilizado para transmitir o amor entre quem se gosta.	
50033	Caixa Misteriosa	O conteúdo do baú é desconhecido.	
50035	Presente das Crianças	É dado para alguém que se gosta muito. Contém um presente.	
50036	Presente das Crianças	É dado para alguém que se gosta muito. Contém um presente.	
50037	Arca Hexagonal	Baú recheado com presentes e tesouros.	
50043	Chave de Diamante	Chave feita de diamante. | Talvez ela possa abrir a Arca de Diamante.	
50046	Erva da Vida	Utilizado para ressuscitar o Cavalo de Guerra Poderoso. Folha de uma lendária erva.	
50047	Ginseng Vermelho Nobre	Ginseng vermelho nobre cozido a vapor. Perfeito para alimentar Cavalo de Guerra Poderoso.	
50048	Forragem	Utilizado para fortalecer o Cavalo de Guerra Poderoso. 	
50049	Brasão Cavalo Poderoso	Utilizado para invocar o Cavalo de Guerra Poderoso. Será consumido 300 de MP ao utilizar este item. 	
50050	Medalha Equestre	Medalha que era usada como um certificado pelos Oficiais do Governo solicitando cavalos para viajar para cidades distantes.	
50051	Espada Equestre	Evoca o Ponei. Ele aumenta sua velocidade de movimento.	
50052	Brasão Cavalo Armado	Evoca o Cavalo Armado. Ele aumenta sua velocidade de movimento e possibilita ataque montado.	
50053	Brasão Cavalo Militar	Evoca o Cavalo Militar. Ele aumenta sua velocidade de movimento, possibilita ataque montado e o uso de skills de ataque montado.	
50054	Feno	A comida favorita do Ponei.	
50055	Cenoura	A comida favorita do Cavalo Armado.	
50056	Ginseng Vermelho	A comida favorita do Cavalo Militar.	
50057	Erva da Gruta Sujin	Revive o Ponei.	
50058	Erva da Gruta Honobo	Revive o Cavalo Armado.	
50059	Erva da Gruta Joklor	Revive o Cavalo Militar.	
50060	Manual de Montaria	Aumenta 1 ponto na Skil Montaria. Pode ser utilizado somente uma vez e requer level 50+	
50070	Tesouro do Chefe Orc	Baú de tesouros do Chefe Orc.	
50071	Tesouro do Fanático	Baú de tesouros do Lider Fanático.	
50072	Tesouro do Reencarnado	Baú de tesouros do Lider Fanático reencarnado.	
50073	Tesouro da Aranha Rainha	Baú de tesouros da Aranha Rainha.	
50074	Tesouro da Aranha	Baú de tesouros do Aranha Gigante.	
50075	Tesouro do Gigante	Baú de tesouros do Gigante.	
50076	Tesouro da Tartaruga	Baú de tesouros do Tartaruga Gigante.	
50077	Tesouro do Nove Caudas	Baú de tesouros do Nove Caudas.	
50078	Tesouro do Tigre Amarelo	Baú de tesouros do Tigre Amarelo.	
50079	Tesouro do Rei de Fogo	Baú de tesouros do Rei de Fogo.	
50080	Tesouro do Dragão	Baú de tesouros do Dragão Vermelho.	
50081	Tesouro do Rei Demônio	Baú de tesouros do Rei Demônio.	
50082	Tesouro do Ceifador	Baú de tesouros do Ceifador.	
50083	Bilhete de Cavalgada	Recebe um Bilhete de Cavalgada para usar por 10 minutos. | Nível necessário: 10	
50084	Pedra do Destravamento	Item utilizado para remover o selo mágico de uma pedra selada pelo antigo poder	
50091	Sushi de Crucian	Bolinho de arroz com peixe. Possui um cheiro bem característico, um pouco difícil de comer	
50092	Sushi de Carpa	Bolinho de arroz com Carpa. Possui um cheiro bem característico, um pouco difícil de comer	
50093	Sushi de Salmão	Bolinho de arroz com Salmão, tão bonito que  dá dó de comer. A cor avermelhada atiça os sentidos.	
50094	Sushi de Peixe-Gato	Bolinho de arroz com peixe-gato. Para tirar o cheiro de lama utilizam-se diversos condimentos.	
50097	Pacote de Rosas	Rosas empacotadas para presente | Não é possível obter rosas após o término do evento.	Receberá 1 Rosa ao usar
50098	Pacote de Chocolates	Chocolates empacotados para presente | Não é possível obter chocolates após o término do evento.	Receberá 1 Chocolate ao usar
50100	Fogos de Artifício	Fogos de Artifício utilizado em festas (Violeta)	
50101	Fogos de Artifício	Fogos de Artifício utilizado em festas (Amarelo)	
50102	Fogos de Artifício	Fogos de Artifício utilizado em festas (Azul Celeste)	
50103	Fogos de Artifício	Fogos de Artifício utilizado em festas (Vermelho em forma de Pião)	
50104	Fogos de Artifício	Fogos de Artifício utilizado em festas (Verde em forma de Pião)	
50105	Fogos de Artifício	Fogos de Artifício utilizado em festas (Branco em forma de Pião)	
50106	Fogos de Artifício	Fogos de artifício barulhentos.	
50107	Fogos de Artifício	Solta fogos de artifício no chão	Chance de atordoar +5%
50108	Brinquedo Antigo	Brinquedo feito de madeira que as crianças podem brincar usando uma pequena corda	Chance de atordoar +5%
50160	Ovinho de Páscoa	Monstros invejosos! | Roubaram todos os Ovinhos do Sr. Coelho. |  Ninguém resiste ao doce sabor do |  chocolate, até mesmo eles! |  Recupere o máximo de Ovinhos que puder |   e devolva ao Sr. Coelho Peppy.	
50161	Ovinho de Páscoa	Monstros invejosos! | Roubaram todos os Ovinhos do Sr. Coelho. |  Ninguém resiste ao doce sabor do |  chocolate, até mesmo eles! |  Recupere o máximo de Ovinhos que puder |   e devolva ao Sr. Coelho Peppy.	
50162	Ovinho de Páscoa	Monstros invejosos! | Roubaram todos os Ovinhos do Sr. Coelho. |  Ninguém resiste ao doce sabor do |  chocolate, até mesmo eles! |  Recupere o máximo de Ovinhos que puder |   e devolva ao Sr. Coelho Peppy.	
50163	Ovinho de Páscoa	Monstros invejosos! | Roubaram todos os Ovinhos do Sr. Coelho. |  Ninguém resiste ao doce sabor do |  chocolate, até mesmo eles! |  Recupere o máximo de Ovinhos que puder |   e devolva ao Sr. Coelho Peppy.	
50164	Ovinho de Páscoa	Monstros invejosos! | Roubaram todos os Ovinhos do Sr. Coelho. |  Ninguém resiste ao doce sabor do |  chocolate, até mesmo eles! |  Recupere o máximo de Ovinhos que puder |   e devolva ao Sr. Coelho Peppy.	
50165	Ovinho de Páscoa	Monstros invejosos! | Roubaram todos os Ovinhos do Sr. Coelho. |  Ninguém resiste ao doce sabor do |  chocolate, até mesmo eles! |  Recupere o máximo de Ovinhos que puder |   e devolva ao Sr. Coelho Peppy.	
50166	Ovinho de Páscoa	Monstros invejosos! | Roubaram todos os Ovinhos do Sr. Coelho. |  Ninguém resiste ao doce sabor do |  chocolate, até mesmo eles! |  Recupere o máximo de Ovinhos que puder |   e devolva ao Sr. Coelho Peppy.	
50167	Ovinho de Páscoa	Monstros invejosos! | Roubaram todos os Ovinhos do Sr. Coelho. |  Ninguém resiste ao doce sabor do |  chocolate, até mesmo eles! |  Recupere o máximo de Ovinhos que puder |   e devolva ao Sr. Coelho Peppy.	
50168	Ovinho de Páscoa	Monstros invejosos! | Roubaram todos os Ovinhos do Sr. Coelho. |  Ninguém resiste ao doce sabor do |  chocolate, até mesmo eles! |  Recupere o máximo de Ovinhos que puder |   e devolva ao Sr. Coelho Peppy.	
50169	Ovinho de Páscoa	Monstros invejosos! | Roubaram todos os Ovinhos do Sr. Coelho. |  Ninguém resiste ao doce sabor do |  chocolate, até mesmo eles! |  Recupere o máximo de Ovinhos que puder |   e devolva ao Sr. Coelho Peppy.	
50170	Ovinho de Páscoa	Monstros invejosos! | Roubaram todos os Ovinhos do Sr. Coelho. |  Ninguém resiste ao doce sabor do |  chocolate, até mesmo eles! |  Recupere o máximo de Ovinhos que puder |   e devolva ao Sr. Coelho Peppy.	
50171	Ovinho de Páscoa	Monstros invejosos! | Roubaram todos os Ovinhos do Sr. Coelho. |  Ninguém resiste ao doce sabor do |  chocolate, até mesmo eles! |  Recupere o máximo de Ovinhos que puder |   e devolva ao Sr. Coelho Peppy.	
50172	Ovinho de Páscoa	Monstros invejosos! | Roubaram todos os Ovinhos do Sr. Coelho. |  Ninguém resiste ao doce sabor do |  chocolate, até mesmo eles! |  Recupere o máximo de Ovinhos que puder |   e devolva ao Sr. Coelho Peppy.	
50173	Ovinho de Páscoa	Monstros invejosos! | Roubaram todos os Ovinhos do Sr. Coelho. |  Ninguém resiste ao doce sabor do |  chocolate, até mesmo eles! |  Recupere o máximo de Ovinhos que puder |   e devolva ao Sr. Coelho Peppy.	
50174	Ovinho de Páscoa	Monstros invejosos! | Roubaram todos os Ovinhos do Sr. Coelho. |  Ninguém resiste ao doce sabor do |  chocolate, até mesmo eles! |  Recupere o máximo de Ovinhos que puder |   e devolva ao Sr. Coelho Peppy.	
50175	Ovinho de Páscoa	Monstros invejosos! | Roubaram todos os Ovinhos do Sr. Coelho. |  Ninguém resiste ao doce sabor do |  chocolate, até mesmo eles! |  Recupere o máximo de Ovinhos que puder |   e devolva ao Sr. Coelho Peppy.	
50176	Ovinho de Páscoa	Monstros invejosos! | Roubaram todos os Ovinhos do Sr. Coelho. |  Ninguém resiste ao doce sabor do |  chocolate, até mesmo eles! |  Recupere o máximo de Ovinhos que puder |   e devolva ao Sr. Coelho Peppy.	
50177	Ovinho de Páscoa	Monstros invejosos! | Roubaram todos os Ovinhos do Sr. Coelho. |  Ninguém resiste ao doce sabor do |  chocolate, até mesmo eles! |  Recupere o máximo de Ovinhos que puder |   e devolva ao Sr. Coelho Peppy.	
50178	Ovinho de Páscoa	Monstros invejosos! | Roubaram todos os Ovinhos do Sr. Coelho. |  Ninguém resiste ao doce sabor do |  chocolate, até mesmo eles! |  Recupere o máximo de Ovinhos que puder |   e devolva ao Sr. Coelho Peppy.	
50179	Ovinho de Páscoa	Monstros invejosos! | Roubaram todos os Ovinhos do Sr. Coelho. |  Ninguém resiste ao doce sabor do |  chocolate, até mesmo eles! |  Recupere o máximo de Ovinhos que puder |   e devolva ao Sr. Coelho Peppy.	
50182	Baú Vermelho	Um Baú vermelho com aparência elegante. Parece guardar algo raro e valioso. 	
50183	Doce	Doce feito com xarope de açúcar extraído da cana-de-açúcar. Comer em excesso pode causar obesidade e dentes podres.	Velocidade de movimento +10% | Ataque +5% | Experiência +10%
50187	Caixa do Aprendiz I	Caixa que contém itens que irão ajudá-lo em sua aventura.	
50188	Caixa do Aprendiz II	Caixa que contém itens que irão ajudá-lo em sua aventura.	
50189	Caixa do Aprendiz III	Caixa que contém itens que irão ajudá-lo em sua aventura.	
50190	Caixa do Expert I	Caixa que contém itens que irão ajudá-lo em sua aventura.	
50191	Caixa do Expert II	Caixa que contém itens que irão ajudá-lo em sua aventura.	
50192	Caixa do Expert III	Caixa que contém itens que irão ajudá-lo em sua aventura.	
50193	Caixa do Mestre I	Caixa que contém itens que irão ajudá-lo em sua aventura.	
50194	Caixa do Mestre II	Caixa que contém itens que irão ajudá-lo em sua aventura.	
50195	Caixa do Mestre III	Caixa que contém itens que irão ajudá-lo em sua aventura.	
50196	Caixa do Grande Mestre	Caixa que contém itens que irão ajudá-lo em sua aventura.	
50200	Pacote	Use-o para abrir a loja particular.	
50216	Gemada	Ótima bebida com um sabor, incrível! Espanta o frio e anima para ir procurar mais meias!	
50218	Baú da Vitória Menor	Obtida através da Batalha de Guildas. | A Chave do Baú da Vitória é necessária para abri-la.	Clique com o botão direito do mouse para abrir.
50219	Baú da Vitória Médio	Obtida através da Batalha de Guildas. | A Chave do Baú da Vitória é necessária para abri-la.	Clique com o botão direito do mouse para abrir.
50220	Baú da Vitória Maior	Obtida através da Batalha de Guildas. | A Chave do Baú da Vitória é necessária para abri-la.	Clique com o botão direito do mouse para abrir.
50221	Chave do Baú da Vitória	Obtida através da Batalha de Guildas. | Utilizada para abrir Baú da Vitória.	
50249	Presente Memorial	De alguma forma parece que há algo de bom nesta caixa.	
50270	Caixa do Dragão	Contém itens raros	
50271	Caixa do Vigia	Contém itens raros	
50278	Sorvete	Velocidade de movimento +10% | Ataque +5% | Experiência +10%	Duração: 30 minutos
50279	Bola de Sorvete	Refrescante bola de sorvete para o verão.	Bolas de Sorvete no inventário podem ser trocadas por recompensas na NPC Verão.
50280	Taça de Sorvete	Pode ser trocada por Bolo de Sorvete.	
50281	Bolo de Sorvete	Pode ser trocado por Cofre do Verão.	
50283	Monster Card	Ao usar este item, será registrado à coleção.	
50284	Monster Card(T)	Ao usar este item, será registrado à coleção.	
50300	Livro de Habilidade	Usado para aumentar uma determinada Skill, a partir do nivel Master	
50301	Arte da Guerra Sunzi	Livro da Skill Liderança até nível 20. Pode ser utilizado somente uma vez.	
50302	Arte da Guerra Wuzi	Livro da Skill Liderança para nível 21 a 30. Pode ser utilizado somente uma vez.	
50303	Arte da Guerra de Guigu	Livro da Skill Liderança para nível 31 a 40. Pode ser utilizado somente uma vez.	
50304	Manual de Mineração 1	Manual da Skill Mineração para jogadores iniciantes em minerar.	
