AFF_LOVE_POINT	Pontos de Amor: %d%%
PET_CAN_NOT_OPEN_SHOP_BECAUSE_SUMMON	Você não pode abir uma loja enquanto seu pet está invocado.	
PET_CAN_NOT_OPEN_SPECIAL_EVOL_BUTTON	Seu pet deve ter %d de idade para ser treinado e promovido para o próximo estágio.	
PET_CAN_NOT_SUMMON_BECAUSE_LIFE_TIME_END	Você não pode invocar seu pet, pois sua duração já expirou.	
PET_CAN_NOT_USE_BAG	Você não pode usar a Caixa de Transporte, pois a duração de seu pet expirou.	
PET_HATCHING_ACCEPT	Você deseja invocar o pet "%s"?	
PET_HATCHING_MONEY	Preço: %s	
PET_HATCHING_WINDOW_OPEN_CAN_NOT_USE	Você não pode realizar interações enquanto a Incubadora está aberta.	
PET_INFORMATION_STAGE1	Jovem	
PET_INFORMATION_STAGE2	Feroz	
PET_INFORMATION_STAGE3	Valente	
PET_INFORMATION_STAGE4	Heróico	
PET_INFO_EXP	EXP atual:	
PET_INFO_ITEM_EXP	EXP de item atual:	
PET_INFO_NEXT_EXP	EXP restante:	
PET_INFO_NEXT_ITEM_EXP	EXP de item restante:	
PET_MSG_NOT_ENOUGH_MONEY	Você não possui Gold suficiente.	
PET_NAME_MIN	O nome inserido é muito curto.	
PET_SKILL_DELETE_QUESTION_DLG_MSG	Habilidades estão disponíveis.	
PET_SKILL_LEARN_QUESTION_DLG_MSG	Deseja iniciar o treino heróico com "%s"?	
PET_SKILL_TOOLTIP_COOLTIME	Cooldown: %s segundos	
PET_SKILL_TOOLTIP_DURATION	Duração: %d segundos	
PET_SKILL_TOOLTIP_HEAL	Quando seu HP ficar abaixo de 20%%, você tem \n %d%% de chance de aumentar o HP em %d.	SAA
PET_SKILL_TOOLTIP_INVINVIBILITY	O personagem tem %d%% de chance de ficar invencível\n quando o HP ficar abaixo de 10%%. \n Duração do efeito: %.1f segundos.	SAA
PET_SKILL_TOOLTIP_REMOVAL	Há uma chance de %d%% de remover imediatamente \n efeitos negativos de seu personagem, como\n lentidão, veneno ou sangramento.	SAN
PET_SKILL_UPGRADE_QUESTION_DLG_MSG1	Elevar treino heróico para o próximo estágio?	
PET_SKILL_UPGRADE_QUESTION_DLG_MSG2	Custo: %s	
PET_TOOLTIP_COSTUME_BONUS		
PET_TOOLTIP_DEF	Defesa	
PET_TOOLTIP_HP	HP	
PET_TOOLTIP_LEVEL	Nível	
PET_TOOLTIP_LIFETIME_OVER	Expirado	
PET_TOOLTIP_SKILL_BONUS_VALUE	em treino heróico	
PET_TOOLTIP_SKILL_CUR_LEVEL	Nível: %d	
PET_TOOLTIP_SKILL_NEXT_LEVEL	Próximo nível: %d (max. %d)	
PET_TOOLTIP_SP	MP	
PET_TOOLTIP_TRADABLE	Negociável	
PET_TOOLTUP_SKILL	%s (Estágio %d)
PRIVATESHOPSEARCH_ABLITY_POTION	Poções Zodíaco
PRIVATESHOPSEARCH_ACCESSORY_SOCKET	Tecido Fino
PRIVATESHOPSEARCH_ARMOR	Equipamento
PRIVATESHOPSEARCH_ARROW	Flechas
PRIVATESHOPSEARCH_BELL	Sinos
PRIVATESHOPSEARCH_BELT	Cintos
PRIVATESHOPSEARCH_BLEND	Poções
PRIVATESHOPSEARCH_BLOOD_PEARL	Pérola Escarlate
PRIVATESHOPSEARCH_BLUE_PEARL	Pérola Azul
PRIVATESHOPSEARCH_BODY	Armadura
PRIVATESHOPSEARCH_BOW	Arcos
PRIVATESHOPSEARCH_BUYTIME	Você deseja comprar o item selecionado?
PRIVATESHOPSEARCH_CLAW	Garras
PRIVATESHOPSEARCH_CLEAR_POTION	Elixirs
PRIVATESHOPSEARCH_COSTUME	Trajes
PRIVATESHOPSEARCH_COSTUMEBODY	Trajes
PRIVATESHOPSEARCH_COSTUMEHAIR	Penteado
PRIVATESHOPSEARCH_COSTUME_ACCE	Faixas de Ombro
PRIVATESHOPSEARCH_COSTUME_MOUNT	Montaria
PRIVATESHOPSEARCH_CRYSTAL	Cristal
PRIVATESHOPSEARCH_DAGGER	Adagas
PRIVATESHOPSEARCH_DEAD	Morto
PRIVATESHOPSEARCH_DETACHMENT	Livro de Arte em Pedra
PRIVATESHOPSEARCH_DIAMOND	Diamante
PRIVATESHOPSEARCH_DS	Pedra do Dragão
PRIVATESHOPSEARCH_DS_BLACK	Onix
PRIVATESHOPSEARCH_DS_BLUE	Safira
PRIVATESHOPSEARCH_DS_GREEN	Jade
PRIVATESHOPSEARCH_DS_RED	Rubi
PRIVATESHOPSEARCH_DS_WHITE	Diamante
PRIVATESHOPSEARCH_DS_YELLOW	Granada
PRIVATESHOPSEARCH_EAR	Brincos
PRIVATESHOPSEARCH_FAN	Leques
PRIVATESHOPSEARCH_FISH	Peixe
PRIVATESHOPSEARCH_FOOTS	Botas
PRIVATESHOPSEARCH_GEM	Gemas
PRIVATESHOPSEARCH_GIFTBOX	Caixas Especiais
PRIVATESHOPSEARCH_HEAD	Elmos
PRIVATESHOPSEARCH_LIVE	Vivo
PRIVATESHOPSEARCH_MATERIAL	Materiais
PRIVATESHOPSEARCH_METIN	Joias
PRIVATESHOPSEARCH_NECK	Colares
PRIVATESHOPSEARCH_NODELAY_POTION	Itens de HP
PRIVATESHOPSEARCH_ORE	Minério
PRIVATESHOPSEARCH_PET	Sistema de Pet
PRIVATESHOPSEARCH_PETAGG	Ovos de Pet
PRIVATESHOPSEARCH_PETSKILLBOOK	Livros de Habilidade Pet
PRIVATESHOPSEARCH_PICK	Picaretas
PRIVATESHOPSEARCH_POTION	Poções
PRIVATESHOPSEARCH_QUEST	Quest
PRIVATESHOPSEARCH_QUIVER	Aljavas
PRIVATESHOPSEARCH_RESOURCE	Reforço de Item
PRIVATESHOPSEARCH_ROD	Varas de Pesca
PRIVATESHOPSEARCH_SELECTITEM	Item selecionado
PRIVATESHOPSEARCH_SHIELD	Escudos
PRIVATESHOPSEARCH_SKILLBOOK	Livros de Skill
PRIVATESHOPSEARCH_SKILLFORGET	Livros de Esquecimento
PRIVATESHOPSEARCH_SPECIAL	Variados
PRIVATESHOPSEARCH_STONE	Artefatos da Vitalidade
PRIVATESHOPSEARCH_SWORD	Espadas de uma mão
PRIVATESHOPSEARCH_TREASUREBOX	Baús
PRIVATESHOPSEARCH_TUNING	Pergaminhos
PRIVATESHOPSEARCH_TWOSWORD	Espadas de duas mãos
PRIVATESHOPSEARCH_UNIQUE	Únicos
PRIVATESHOPSEARCH_USEITEM	Consumíveis
PRIVATESHOPSEARCH_USESPECIAL	Variados
PRIVATESHOPSEARCH_WEAPON	Armas
PRIVATESHOPSEARCH_WHITE_PEARL	Pérola Branca
PRIVATESHOPSEARCH_WRIST	Braceletes
CATEGORY_ARMOR_ARMOR_BODY	Armadura
CATEGORY_ARMOR_ARMOR_HEAD	Elmos
CATEGORY_ARMOR_ARMOR_SHIELD	Escudos
CATEGORY_COSTUMES	Trajes
CATEGORY_COSTUMES_COSTUME_BODY	Trajes
CATEGORY_COSTUMES_COSTUME_HAIR	Penteados
CATEGORY_COSTUMES_COSTUME_WEAPON	Skin de Armas
CATEGORY_COSTUMES_ETC	Outros
CATEGORY_COSTUMES_SASH	Faixas de Ombro
CATEGORY_DRAGON_STONE	Pedras do Dragão
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Diamante
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Granada
CATEGORY_DRAGON_STONE_DRAGON_JADE	Jade
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Onix
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Rubi
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Safira
CATEGORY_DRAGON_STONE_ETC	Outros
CATEGORY_EQUIPMENT_ARMOR	Equipamento
CATEGORY_EQUIPMENT_JEWELRY	Acessórios
CATEGORY_EQUIPMENT_WEAPON	Armas
CATEGORY_ETC	Outros
CATEGORY_ETC_ETC	Outros
CATEGORY_ETC_EVENT	Itens de Evento
CATEGORY_ETC_GIFTBOX	Baús | Caixas
CATEGORY_ETC_MATRIMORY	Casamento
CATEGORY_ETC_PARTI	Livros Arte da Guerra
CATEGORY_ETC_POLYMORPH	Esferas de Polimorfia
CATEGORY_ETC_RECIPE	Produção de Poções
CATEGORY_ETC_SEAL	Bloqueio de Itens
CATEGORY_FISHING_PICK	Pesca | Mineração
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Picaretas
CATEGORY_FISHING_PICK_ETC	Outros
CATEGORY_FISHING_PICK_FISHING_POLE	Varas de Pesca
CATEGORY_FISHING_PICK_FOOD	Peixe
CATEGORY_FISHING_PICK_PICK_BOOK	Guia de Mineração
CATEGORY_FISHING_PICK_STONE	Minérios
CATEGORY_JEWELRY_ARMOR_EAR	Brincos
CATEGORY_JEWELRY_ARMOR_FOOTS	Botas
CATEGORY_JEWELRY_ARMOR_NECK	Colares
CATEGORY_JEWELRY_ARMOR_WRIST	Braceletes
CATEGORY_JEWELRY_ITEM_BELT	Cintos
CATEGORY_MOUNT_PET	Montarias | Pets
CATEGORY_MOUNT_PET_CHARGED_PET	Pets
CATEGORY_MOUNT_PET_EGG	Ovos de Pet
CATEGORY_MOUNT_PET_FREE_PET	Power Pets
CATEGORY_MOUNT_PET_MOUNT	Montarias
CATEGORY_POTION	Poções
CATEGORY_POTION_ABILITY	Consumíveis
CATEGORY_POTION_ETC	Outros
CATEGORY_POTION_HAIRDYE	Tinturas de Cabelo
CATEGORY_SKILL	Habilidades
CATEGORY_SKILL_BOOK_OF_OBLIVION	Livros de Esquecimento
CATEGORY_SKILL_ETC	Outros
CATEGORY_SKILL_PAHAE	Guarda | Reforço
CATEGORY_SKILL_SKILL_BOOK	Livros de Habilidade
CATEGORY_TUNING	Evolução
CATEGORY_TUNING_ETC	Outros
CATEGORY_TUNING_RESOURCE	Materiais
CATEGORY_TUNING_STONE	Joias
CATEGORY_UNIQUE	Itens Especiais
CATEGORY_UNIQUE_ABILITY	Consumíveis
CATEGORY_UNIQUE_ETC	Outros
CATEGORY_WEAPON_WEAPON_ARROW	Flechas
CATEGORY_WEAPON_WEAPON_BELL	Sinos
CATEGORY_WEAPON_WEAPON_BOW	Arcos
CATEGORY_WEAPON_WEAPON_CLAW	Garras
CATEGORY_WEAPON_WEAPON_DAGGER	Adagas
CATEGORY_WEAPON_WEAPON_FAN	Leques
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Lanças
CATEGORY_WEAPON_WEAPON_SWORD	Espadas de uma mão
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Espadas de duas mãos
PET_NAME_CHANGE_ACCEPT	"%s" change_petname
KEYCHANGE_IMPOSSIBLE_CHANGE	Esta tecla não usa Ctrl,Alt,Shift
KEYCHANGE_DONT_SAVE_EXIT	Sair sem Salvar?
KEYCHANGE_SAVE_EXIT	Salvar e Sair?
KEY_GRAVE	`
KEY_0	0
KEY_1	1
KEY_2	2
KEY_3	3
KEY_4	4
KEY_5	5
KEY_6	6
KEY_7	7
KEY_8	8
KEY_9	9
KEY_GRAVE_LCONTROL	CONTROL + `
KEY_0_LCONTROL	CONTROL + 0
KEY_1_LCONTROL	CONTROL + 1
KEY_2_LCONTROL	CONTROL + 2
KEY_3_LCONTROL	CONTROL + 3
KEY_4_LCONTROL	CONTROL + 4
KEY_5_LCONTROL	CONTROL + 5
KEY_6_LCONTROL	CONTROL + 6
KEY_7_LCONTROL	CONTROL + 7
KEY_8_LCONTROL	CONTROL + 8
KEY_9_LCONTROL	CONTROL + 9
KEY_GRAVE_LALT	ALT + `
KEY_0_LALT	ALT + 0
KEY_1_LALT	ALT + 1
KEY_2_LALT	ALT + 2
KEY_3_LALT	ALT + 3
KEY_4_LALT	ALT + 4
KEY_5_LALT	ALT + 5
KEY_6_LALT	ALT + 6
KEY_7_LALT	ALT + 7
KEY_8_LALT	ALT + 8
KEY_9_LALT	ALT + 9
KEY_GRAVE_LSHIFT	SHIFT + `
KEY_0_LSHIFT	SHIFT + 0
KEY_1_LSHIFT	SHIFT + 1
KEY_2_LSHIFT	SHIFT + 2
KEY_3_LSHIFT	SHIFT + 3
KEY_4_LSHIFT	SHIFT + 4
KEY_5_LSHIFT	SHIFT + 5
KEY_6_LSHIFT	SHIFT + 6
KEY_7_LSHIFT	SHIFT + 7
KEY_8_LSHIFT	SHIFT + 8
KEY_9_LSHIFT	SHIFT + 9
KEY_F1	F1
KEY_F2	F2
KEY_F3	F3
KEY_F4	F4
KEY_F5	F5
KEY_F6	F6
KEY_F7	F7
KEY_F8	F8
KEY_F9	F9
KEY_F10	F10
KEY_F1_LCONTROL	CONTROL + F1
KEY_F2_LCONTROL	CONTROL + F2
KEY_F3_LCONTROL	CONTROL + F3
KEY_F4_LCONTROL	CONTROL + F4
KEY_F5_LCONTROL	CONTROL + F5
KEY_F6_LCONTROL	CONTROL + F6
KEY_F7_LCONTROL	CONTROL + F7
KEY_F8_LCONTROL	CONTROL + F8
KEY_F9_LCONTROL	CONTROL + F9
KEY_F10_LCONTROL	CONTROL + F10
KEY_F1_LALT	ALT + F1
KEY_F2_LALT	ALT + F2
KEY_F3_LALT	ALT + F3
KEY_F4_LALT	ALT + F4
KEY_F5_LALT	ALT + F5
KEY_F6_LALT	ALT + F6
KEY_F7_LALT	ALT + F7
KEY_F8_LALT	ALT + F8
KEY_F9_LALT	ALT + F9
KEY_F10_LALT	ALT + F10
KEY_F1_LSHIFT	SHIFT + F1
KEY_F2_LSHIFT	SHIFT + F2
KEY_F3_LSHIFT	SHIFT + F3
KEY_F4_LSHIFT	SHIFT + F4
KEY_F5_LSHIFT	SHIFT + F5
KEY_F6_LSHIFT	SHIFT + F6
KEY_F7_LSHIFT	SHIFT + F7
KEY_F8_LSHIFT	SHIFT + F8
KEY_F9_LSHIFT	SHIFT + F9
KEY_F10_LSHIFT	SHIFT + F10
KEY_LCONTROL	CONTROL
KEY_LALT	ALT
KEY_LSHIFT	SHIFT
KEY_SYSRQ	PRINTSCREEN
KEY_SPACE	SPACE
KEY_TAB	TAB
KEY_UP	UP
KEY_DOWN	DOWN
KEY_LEFT	LEFT
KEY_RIGHT	RIGHT
KEY_Q	Q
KEY_W	W
KEY_E	E
KEY_R	R
KEY_T	T
KEY_Y	Y
KEY_U	U
KEY_I	I
KEY_O	O
KEY_P	P
KEY_A	A
KEY_S	S
KEY_D	D
KEY_F	F
KEY_G	G
KEY_H	H
KEY_J	J
KEY_K	K
KEY_L	L
KEY_Z	Z
KEY_X	X
KEY_C	C
KEY_V	V
KEY_B	B
KEY_N	N
KEY_M	M
KEY_COMMA	,
KEY_PERIOD	.
KEY_Q_LCONTROL	CONTROL + Q
KEY_W_LCONTROL	CONTROL + W
KEY_E_LCONTROL	CONTROL + E
KEY_R_LCONTROL	CONTROL + R
KEY_T_LCONTROL	CONTROL + T
KEY_Y_LCONTROL	CONTROL + Y
KEY_U_LCONTROL	CONTROL + U
KEY_I_LCONTROL	CONTROL + I
KEY_O_LCONTROL	CONTROL + O
KEY_P_LCONTROL	CONTROL + P
KEY_A_LCONTROL	CONTROL + A
KEY_S_LCONTROL	CONTROL + S
KEY_D_LCONTROL	CONTROL + D
KEY_F_LCONTROL	CONTROL + F
KEY_G_LCONTROL	CONTROL + G
KEY_H_LCONTROL	CONTROL + H
KEY_J_LCONTROL	CONTROL + J
KEY_K_LCONTROL	CONTROL + K
KEY_L_LCONTROL	CONTROL + L
KEY_Z_LCONTROL	CONTROL + Z
KEY_X_LCONTROL	CONTROL + X
KEY_C_LCONTROL	CONTROL + C
KEY_V_LCONTROL	CONTROL + V
KEY_B_LCONTROL	CONTROL + B
KEY_N_LCONTROL	CONTROL + N
KEY_M_LCONTROL	CONTROL + M
KEY_COMMA_LCONTROL	CONTROL + ,
KEY_PERIOD_LCONTROL	CONTROL + .
KEY_Q_LALT	ALT + Q
KEY_W_LALT	ALT + W
KEY_E_LALT	ALT + E
KEY_R_LALT	ALT + R
KEY_T_LALT	ALT + T
KEY_Y_LALT	ALT + Y
KEY_U_LALT	ALT + U
KEY_I_LALT	ALT + I
KEY_O_LALT	ALT + O
KEY_P_LALT	ALT + P
KEY_A_LALT	ALT + A
KEY_S_LALT	ALT + S
KEY_D_LALT	ALT + D
KEY_F_LALT	ALT + F
KEY_G_LALT	ALT + G
KEY_H_LALT	ALT + H
KEY_J_LALT	ALT + J
KEY_K_LALT	ALT + K
KEY_L_LALT	ALT + L
KEY_Z_LALT	ALT + Z
KEY_X_LALT	ALT + X
KEY_C_LALT	ALT + C
KEY_V_LALT	ALT + V
KEY_B_LALT	ALT + B
KEY_N_LALT	ALT + N
KEY_M_LALT	ALT + M
KEY_COMMA_LALT	ALT + ,
KEY_PERIOD_LALT	ALT + .
KEY_Q_LSHIFT	SHIFT + Q
KEY_W_LSHIFT	SHIFT + W
KEY_E_LSHIFT	SHIFT + E
KEY_R_LSHIFT	SHIFT + R
KEY_T_LSHIFT	SHIFT + T
KEY_Y_LSHIFT	SHIFT + Y
KEY_U_LSHIFT	SHIFT + U
KEY_I_LSHIFT	SHIFT + I
KEY_O_LSHIFT	SHIFT + O
KEY_P_LSHIFT	SHIFT + P
KEY_A_LSHIFT	SHIFT + A
KEY_S_LSHIFT	SHIFT + S
KEY_D_LSHIFT	SHIFT + D
KEY_F_LSHIFT	SHIFT + F
KEY_G_LSHIFT	SHIFT + G
KEY_H_LSHIFT	SHIFT + H
KEY_J_LSHIFT	SHIFT + J
KEY_K_LSHIFT	SHIFT + K
KEY_L_LSHIFT	SHIFT + L
KEY_Z_LSHIFT	SHIFT + Z
KEY_X_LSHIFT	SHIFT + X
KEY_C_LSHIFT	SHIFT + C
KEY_V_LSHIFT	SHIFT + V
KEY_B_LSHIFT	SHIFT + B
KEY_N_LSHIFT	SHIFT + N
KEY_M_LSHIFT	SHIFT + M
KEY_COMMA_LSHIFT	SHIFT + ,
KEY_PERIOD_LSHIFT	SHIFT + .
KEY_NUMPAD0	NUMPAD0
KEY_NUMPAD1	NUMPAD1
KEY_NUMPAD2	NUMPAD2
KEY_NUMPAD3	NUMPAD3
KEY_NUMPAD4	NUMPAD4
KEY_NUMPAD5	NUMPAD5
KEY_NUMPAD6	NUMPAD6
KEY_NUMPAD7	NUMPAD7
KEY_NUMPAD8	NUMPAD8
KEY_NUMPAD9	NUMPAD9
KEY_SUBTRACT	-
KEY_ADD	+
KEY_PGUP	PAGEUP
KEY_PGDN	PAGEDOWN
KEY_NUMLOCK	NUMLOCK
TOOLTIP_AUTO_SYSTEM_PRIMIUM	Auto Hunt Premium	SNA
AUTO_TOOLTIP_TITLE	Sistema Automático
AUTO_TOOLTIP_LINE1	1. O valor da Habilidade é o tempo de cooldown em segundos.
AUTO_TOOLTIP_LINE2	2. O valor da Poção é o tempo de cooldown em segundos.
AUTO_TOOLTIP_LINE3	Porém em caso de poções de HP / MP você pode decidir pela porcentagem de HP / MP do personagem. 
AUTO_TOOLTIP_LINE4	3. Você não pode colocar um valor menor que o mínimo.
AUTO_TOOLTIP_LINE5	4. Habilidade Auto./Poção Auto./Ressurreição Auto. podem ser usados quando o Auto Caça Premium estiver ativo.
AUTO_TOOLTIP_CLEAR	Limpar
CHEQUE_SYSTEM_SELL_PRICE	[Preço]
CHEQUE_SYSTEM_WON	%s Won
CHEQUE_SYSTEM_YANG	%s Gold
CHEQUE_SYSTEM_PICK_WON	Você recebeu %s won.
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_SYSTEM_UNIT_YANG	Gold
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	Você não pode jogar fora o dinheiro.
EXINVEN_USE_ITEM_QUESTION	Você quer expandir o inventário usando %d Expansão de Inventário?
EXINVEN_USE_ITEM_FAIL_FALL_SHORT	Você precisa de mais %d Expansão de Inventário.
EXINVEN_USE_ITEM_FAIL_FOURTH_PAGE_STAGE_MAX	Seu inventário está totalmente expandido. Você não pode expandi-lo ainda mais.
TOOLTIP_SET_ITEM	SET	SNA
MINIGAME_FISH_EVENT_USE_ACCEPT	Você realmente que usa-lo?
MINIGAME_FISH_EVENT_DROP_ACCEPT	Você realmente quer descarta-lo?
MINIGAME_FISH_EVENT_ADD_ACCEPT	Você realmente que registra-lo?
MINIGAME_FISH_EVENT_REWARD_MSG	Você recebeu %s.
TOOLTIP_REST_USABLE_COUNT	O restante número de utilizações : %d
LOGIN_FAILURE_NOT_MAIL_CONFIRM	A conta ainda não foi validada! Clique no link de confirmação no e-mail que recebeu.
GUILDWAR_INPUT_OTHERGUILD	Insira a guilda oponente.	
GUILDWAR_SELECT_MEMBER_COUNT	Selecione o número de participantes.	
GUILDWAR_LIMIT_MEMBER_FIVE	O máximo de participantes é 5.	
GUILDWAR_OVER_MEMBERCOUNT	O número de participantes passou do limite.	
GUILDWAR_TYPE_TIGER	Aniquilação	
GUILDWAR_TYPE_DEFENSE	Guerra do Escudo	
GUILDWAR_TYPE_TIME	Time-Attack	
GUILDWAR_WIN_ONE	Uma vitória
GUILDWAR_WIN_THREE	Melhor de três
GUILDWAR_WIN_FIVE	Melhor de cinco
GUILDWAR_GAINSCORE_THIRTY	30 Pontos	
GUILDWAR_GAINSCORE_FIFTY	50 Pontos	
GUILDWAR_GAINSCORE_HUNDRED	100 Pontos	
GUILDWAR_GAMETIME_TEN	10 minutos	
GUILDWAR_GAMETIME_THIRTY	30 minutos	
GUILDWAR_GAMETIME_SIXTY	60 minutos	
GUILDWAR_ALL	guerra	
GUILDWAR_WIN	vitória	
GUILDWAR_LOSE	derrota	
GUILDWAR_DRAW	empate	
GUILDWAR_LADDER	Pontos	
GUILDWAR_RANKING	Rank	
GUILDWAR_RECODE_ALL	%d / %d / %d / %d	
GUILDBANK_NOTUSE	Você não tem o direito de usar.	
GUILDBANK_OVER_INCOME	Excedeu o limite de depósito.	
GUILDBANK_DONT_MONEY_OUT	Não há gold
GUILDBANK_MONEYIN	Depositar gold
GUILDBANK_MONEYOUT	Retirar gold
GUILDBANK_NOT_ENOUGH_MONEY	Você não tem gold suficiente para depositar
GUILDBANK_OVER_MONEY	Excedeu o limite máximo.
GUILDBANK_CLEARBANK	(Você deve esvaziar o armazém da guilda.)
GUILDLAND_DONTHAVE_LAND	Você não tem terreno de guilda.	
GUILDLAND_ABANDON	Abandonar terreno de guilda.
GUILDLAND_ACCEPT	Sim	
GUILDLAND_NOT	Não	
GUILD_USE_MASTER_ONLY	Apenas o líder da guilda tem autoridade.
TOOLTIP_GUILD_SKILL_BLOOD	Sangue do Dragão +%d	SA
TOOLTIP_GUILD_SKILL_BLESS	Bênção do Dragão +%d	SA
TOOLTIP_GUILD_SKILL_SEONGHWI	Armadura do Dragão +%d	SA
TOOLTIP_GUILD_SKILL_ACCEL	Vôo do Dragão +%d	SA
TOOLTIP_GUILD_SKILL_BUNNO	Maldição do Dragão +%d%%	SA
TOOLTIP_GUILD_SKILL_JUMUN	Desejo do Dragão +%d%%	SA
GUILDWINDOW_BUTTON_INFO	Informação da Guilda	
GUILDWINDOW_BUTTON_BOARD	Painel	
GUILDWINDOW_BUTTON_MEMBER	Membros da Guilda	
GUILDWINDOW_BUTTON_LANDINFO	Informação de Terreno	
GUILDWINDOW_BUTTON_SKILL	Habilidades da Guilda	
GUILDWINDOW_BUTTON_GRADE	Gerenciamento de Posto	
GUILDWINDOW_BUTTON_DECLARE	Declarar	
GUILDWINDOW_BUTTON_SYMBOL	Upload de Símbolo	
GUILDWINDOW_BUTTON_MARK	Upload de Marca	
GUILDWINDOW_BUTTON_OFFER	Investir	
GUILDWINDOW_BUTTON_GUILDLIST	Lista de Guildas	
GUILDWINDOW_BUTTON_OUTMEMBER	Expulsar	
GUILDWINDOW_BUTTON_CHANGEMASTER	Mudar Líder de Guilda	
GUILDWINDOW_BUTTON_BANKGOLDINFO	Checar Armazém	
GUILDWINDOW_BUTTON_BASEDEAL	Negociar Terreno	
GUILDWINDOW_BUTTON_BASEABANDON	Abandonar Terreno de Guilda	
GUILDWINDOW_BUTTON_GOLDOUT	Retirar	
GUILDWINDOW_BUTTON_GOLDIN	Depositar	
GUILDWINDOW_BUTTON_HEALGSP	Recuperação de Poder do Dragão	
GUILDWINDOW_INFO_LEVEL5	Investimento de EXP aumentado em 5%	
GUILDWINDOW_INFO_LEVEL10	Mais membros de guilda
GUILDWINDOW_INFO_LEVEL15	Poderes do Deus Dragão mais baratos
GUILDWINDOW_INFO_LEVEL20	Isenção da taxa bancária da guilda
GUILDWINDOW_PROMOTE_REGISTER	Promoção da Guilda	
GUILDWINDOW_PROMOTE_REFRESH	Atualizar Promoção	
GUILDWINDOW_LIST_ALL	Todos	
GUILDWINDOW_LIST_EMPIRE_A	Shinsoo	
GUILDWINDOW_LIST_EMPIRE_B	Chunjo	
GUILDWINDOW_LIST_EMPIRE_C	Jinno	
GUILDWINDOW_LIST_REGISTER	Registrar	
GUILDWINDOW_LIST_SEARCH	Procurar	
GUILDWINDOW_LIST_PROMOTE_GUILD	Guilda	
GUILDWINDOW_LIST_REGISTER_GUILD	Registrar	
GUILDWINDOW_LIST_RANKING	Ranking	
GUILDWINDOW_LIST_GUILD_NAME	Nome
GUILDWINDOW_LIST_GUILD_LV	Nível
GUILDWINDOW_LIST_LADDER	Pontos
GUILDWINDOW_LIST_GUILDMEMBER	Membros
GUILDWINDOW_LIST_RANKING_COUNT	Lista
GUILDWINDOW_LIST_CHRACTER_NAME	Personagem
GUILDWINDOW_LIST_CHRACTER_LV	Nível
GUILDWINDOW_LIST_CHRACTER_JOB	Classe
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Força
GUILDWINDOW_LIST_SELECT_GUILD	<Guilda> Selecione a guilda para registrar	
GUILDWINDOW_LIST_ALREADY_REGISTER	<Guilda> Já registrado.	
GUILDWINDOW_LIST_INPUT_GUILDNAME	<Guilda> Insira o nome da guilda.	
GUILDWINDOW_LIST_GUILD_LIST	Lista de Guildas	
GUILDWINDOW_LIST_APPLICANT_LIST	Lista de Candidatos	
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Lista de Guildas	
GUILDWINDOW_LIST_NOTPROMOTEGUILD	<Guilda> Guilda não registrada	
GUILDWINDOW_GRADE_GRADENUMBER	Graduação
GUILDWINDOW_GRADE_GRADENAME	Posição
GUILDWINDOW_GRADE_INVITEAUTHORITY	Convidar
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	Expulsar
GUILDWINDOW_GRADE_NOTICEAUTHORITY	Notificar
GUILDWINDOW_GRADE_SKILLAUTHORITY	Usar Habilidades
GUILDWINDOW_GRADE_GUILDWAR	Guerrear
GUILDWINDOW_GRADE_BANK	Banco
GUILD_DRAGONLAIR_SECOND	Se
GUILD_DRAGONLAIR_MIN	Mi
GUILDBANK_GOLD_IN	Ins. gold
GUILDBANK_GOLD_OUT	Ret. gold
GUILDBANK_ITEM_IN	Ins. Item
GUILDBANK_ITEM_OUT	Ret. Item
GUILDLIST_APPLICANT	Você é candidato	
GUILD_WAR_SELECT_WAR	Selecione a guerra	
GUILD_WAR_WIN_ONE	Uma vitória	
GUILD_WAR_WIN_THREE	Melhor de três
GUILD_WAR_WIN_FIVE	Melhor de cinco
GUILD_WAR_GAINSCORE_THIRTY	30 pontos	
GUILD_WAR_GAINSCORE_FIFTY	50 pontos	
GUILD_WAR_GAINSCORE_HUNDRED	100 pontos	
GUILD_WAR_GAMETIME_TEN	10 minutos	
GUILD_WAR_GAMETIME_THIRTY	30 minutos	
GUILD_WAR_GAMETIME_SIXTY	60 minutos	
GUILD_WAR_TYPE_NORMAL	Batalha Campal	
GUILD_WAR_TYPE_FLAG	Batalha da Bandeira	
GUILD_WAR_TYPE_DIE	Batalha de Arena	
GUILD_WAR_TYPE_DEFENSE	Guerra do Escudo	
GUILD_WAR_TYPE_TIME	Time-Attack	
